HUC12,NumTEspp
031402030201,1
031402030202,2
031402030203,2
031402030204,3
031402030302,4
031402030404,1
031402030405,4
031402030501,3
031402030502,4
031402030602,2
031402030604,5
031402030701,4
031402030702,1
031402030705,4
031402030805,2
031402030901,4
031402030902,1
031402030903,3
031402030904,3
031402031003,1
031402031102,1
031402031103,2
031403010204,2
031403010301,1
031403010302,3
031403010404,1
031403010405,1
031403010503,1
031403020102,1
031403020303,2
031403020402,4
031403020404,2
031403020501,2
031403030204,1
031403030501,1
031403030702,2
031403030704,3
031403040107,1
031403040201,1
031403040301,1
031403040302,5
031403040304,5
031403040402,3
031403040403,3
031403040505,2
031403040506,2
031403040605,3
031403050302,3
031403050401,1
031403050402,3
031403050403,3
031403050501,1
031403050502,1
031403050503,4
031403050601,4
031403050602,4
031501010101,4
031501010102,3
031501010103,11
031501010104,4
031501010105,12
031501010106,3
031501010204,11
031501010209,1
031501010211,11
031501010301,1
031501010304,2
031501010306,2
031501010307,4
031501010401,1
031501010402,6
031501010403,3
031501010404,1
031501010405,4
031501010406,3
031501010502,4
031501010504,6
031501020102,1
031501020104,1
031501020106,1
031501020202,1
031501020203,2
031501020204,3
031501020205,1
031501020301,1
031501020302,1
031501020305,1
031501020401,2
031501020402,1
031501020504,1
031501020505,1
031501020508,1
031501020605,1
031501020802,2
031501020805,1
031501020807,1
031501030101,1
031501030102,2
031501030103,3
031501030202,1
031501030505,2
031501030507,3
031501030601,4
031501030603,2
031501040101,1
031501040102,1
031501040103,1
031501040104,2
031501040105,2
031501040106,2
031501040107,3
031501040201,1
031501040203,1
031501040204,1
031501040301,2
031501040302,1
031501040303,2
031501040306,3
031501040401,2
031501040402,2
031501040403,2
031501040404,2
031501040501,1
031501040502,1
031501040503,1
031501040504,1
031501040506,2
031501040601,3
031501040602,2
031501040603,2
031501040604,1
031501040605,1
031501040701,1
031501040702,1
031501040703,1
031501040704,2
031501040801,1
031501040802,1
031501040804,1
031501040809,1
031501040901,1
031501040902,1
031501040903,1
031501041001,1
031501041002,2
031501041004,1
031501041101,1
031501041102,1
031501041103,1
031501041104,1
031501041105,1
031501041201,2
031501041202,2
031501041203,2
031501041301,1
031501041302,1
